manufacturer,Year,Hand,Gear,Engine_capacity,Engine_type,Km,Test,Color,Curr_ownership,Prev_ownership,Area,City,Pic_num,Price,model,Cre_date,Repub_date,Description
Mitsubishi,2005.0,8.0,G,1600,בנזין,0,2024-10-01,כסוף,P,P,ירושלים והסביבה,ירושלים,3.0,0.0,לנסר קלאסיק,2024-05-22,2024-06-24,רכב במצב פצצה שירת אותי נאמנה הוחלף לפני חודש תושבות מנוע פלאגים ברקסים צלחות רפידות עבר טיפול 10000 ממש לאחרונה מזגן מקפיא רכב במצב מצוין פשוט תדלק וסע גמיש מעט במעמד מכירת הרכב לרצינים בלבד נמכר עקב שדרוג לשנתון יותר גבוה
Mitsubishi,2016.0,2.0,G,2000,בנזין,0,,לבן,P,P,חיפה וחוף הכרמל,נשר,4.0,0.0,GT3000,2024-05-05,2024-05-05,אאוטלנדר המפואר פרמיום 7 מקומות טופל אצל היבואן שמור מאוד ללא תקלות ללא תאונות מרווח מאוד
Mitsubishi,2016.0,2.0,G,2000,בנזין,0,2025-02-01,לבן,P,P,חיפה וחוף הכרמל,נשר,4.0,0.0,I-MIEV,2024-05-05,2024-05-04,אאוטלנדר הדגם המפואר 7 מקומות שמור ומטופל אצל היבואן ללא תאונות ללא תקלות רכב נח ומרווח מאוד גמיש מעט במחיר
Mitsubishi,2020.0,2.0,G,2000,בנזין,0,2024-09-01,שחור,L,P,חיפה וחוף הכרמל,טירת כרמל,3.0,0.0,אקליפס,2024-04-25,2024-04-25,"מיצובישי ASX76,000 ק""ממוכן גם להחליף."
Mitsubishi,2010.0,3.0,G,1600,בנזין,0,2024-11-01,כסוף,P,P,נתניה והסביבה,נתניה,7.0,0.0,לנסר,2024-03-16,2024-03-16,גיר מנוע תקינים מעככת מוביליין רכב 7 שנים עצלי ללא בעיה .
Mitsubishi,2022.0,1.0,G,1500,בנזין,0,,כחול מטאלי,P,P,נס ציונה - רחובות,רחובות,6.0,0.0,אקליפס,2024-02-06,2024-02-06,דגם executiveמנוע 1.5 טורבומפתח חכם כניסה והתנעהטסט וטיפול עד 7/2024רכב נקי מתאונותעדיין באחריות יצרן!
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,באר שבע והסביבה,באר שבע,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,חדרה וישובי עמק חפר,חדרה,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,באר שבע והסביבה,דימונה,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,ירושלים והסביבה,ירושלים,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
Mitsubishi,2020.0,2.0,G,4200,גז,0,,לבן,P,P,עכו - נהריה,נהריה,4.0,0.0,לנסר ספורטבק,2024-01-05,2024-01-05,"2020 מיצובישי אאוטלנדר ספורט ES 4x41-בעליםמנוע 4 צילינדרים חזק בנפח 2.0 ליטר עם תיבת הילוכים אוטומטית, הנעה לכל הגלגליםלְנַקוֹת,ללא תאונות90,000 מיילים מהכביש המהיר של המדינה...Vin # JA4AR3AU7LU030987פועל ונוסע כמו חדש... הרגע יצאה מאחריות היצרן...טעון עם כניסה ללא מפתחמערכת סאונד פרימיום עם בלוטות' ו-USBהכל עובד, ללא רבב מבחינה מכנית. אף לא רעשן, חריקה או דליפה אחת!פועל ונוסע בצורה מושלמת.4 צמיגים שהוחלפו לאחרונה... בלמים ורוטורים טובים.אין בעיות...."
